,created_date,dominant_topic,dominant_topic_keywords,count
63,2022-12-09,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",140
64,2022-12-09,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",45
65,2022-12-09,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",55
66,2022-12-09,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",191
67,2022-12-09,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",282
68,2022-12-09,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",79
69,2022-12-09,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",155
70,2022-12-08,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",37
71,2022-12-08,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",34
72,2022-12-08,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",202
73,2022-12-08,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",237
74,2022-12-08,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",109
75,2022-12-08,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",238
76,2022-12-08,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",70
77,2022-12-07,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",282
78,2022-12-07,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",34
79,2022-12-07,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",146
80,2022-12-07,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",68
81,2022-12-07,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",227
82,2022-12-07,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",113
83,2022-12-07,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",45
84,2022-12-06,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",85
85,2022-12-06,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",272
86,2022-12-06,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",57
87,2022-12-06,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",119
88,2022-12-06,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",188
89,2022-12-06,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",45
90,2022-12-06,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",213
91,2022-12-05,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",126
92,2022-12-05,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",173
93,2022-12-05,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",311
94,2022-12-05,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",224
95,2022-12-05,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",47
96,2022-12-05,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",95
97,2022-12-05,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",54
98,2022-12-04,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",160
99,2022-12-04,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",133
100,2022-12-04,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",217
101,2022-12-04,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",33
102,2022-12-04,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",329
103,2022-12-04,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",61
104,2022-12-04,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",150
105,2022-12-03,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",52
106,2022-12-03,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",156
107,2022-12-03,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",294
108,2022-12-03,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",74
109,2022-12-03,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",184
110,2022-12-03,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",266
111,2022-12-03,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",63
112,2022-12-02,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",133
113,2022-12-02,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",53
114,2022-12-02,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",221
115,2022-12-02,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",84
116,2022-12-02,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",274
117,2022-12-02,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",81
118,2022-12-02,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",142
119,2022-12-01,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",210
120,2022-12-01,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",41
121,2022-12-01,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",143
122,2022-12-01,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",73
123,2022-12-01,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",259
124,2022-12-01,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",41
125,2022-12-01,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",161
